Produkt;Faropiktogram2;B;C;D;E;Faropiktogram;Lagring
(+/-)-Verapamil hydrochloride;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";New Freezer
10XTris/Glycine Buffer;;;;;;;Lab space
1-Hydroxibenzotriazolhydrat;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";Flammmable cabinet
1X Plus Amplification Diluent;;;;;;;Fridge Atlas
1X TE Buffer;;;;;;;New fridge
2-Methylbutane;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Flammmable cabinet
4-Jodfenol;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Cupboard Csaba
6xAgarose gel loading dye;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Freezer B
Acetic Acid Glacial, Certified AR for analysis, meets analytical specification of Ph.Eur., BP, USP, Fisher Chemical;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Flammmable cabinet
Aceton;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Flammmable cabinet
Advansta WesternBright Quantum Western blotting detection kit;;;;;;;Fridge Atlas
Albumin Standard;;;;;;;Fridge near Bond
Albumin, from bovine serum;;;;;;;Fridge near Bond
AllPrep DNA/RNA/Protein Mini Kit;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Flammmable cabinet
Ammoniumpersulfat;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/GHS-pictogram-rondflam.svg/512px-GHS-pictogram-rondflam.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/GHS-pictogram-rondflam.svg/512px-GHS-pictogram-rondflam.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Flammmable cabinet
APEX Alexa Flour 647 AB labeling kit;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";Fridge near Bond
Benzyl ether;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Cupboard Csaba
Benzyl ether;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Lab space
beta-NADH, disodium salt;;;;;;;Fridge near Bond
Biotin-XX, SE;;;;;;;Fridge Atlas
BIS-TRIS;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Cupboard Csaba
Blocking Buffer;;;;;;;Fridge near Bond
Blocking Reagent (PerkinElmer FP1020);;;;;;;Fridge near Bond
Bond Epitope Retrieval Solution 1;;;;;;;Fridge Atlas
Bond Epitope Retrieval Solution 2;;;;;;;Fridge Atlas
Bond primary Antibody Diluent;;;;;;;Fridge Atlas
Bond primary Antibody Diluent;;;;;;;Fridge near Bond
Bond Wash Solution 10X Concentrate;;;;;;;Fridge Atlas
Bond Wash Solution 10X Concentrate;;;;;;;Fridge near Bond
Clarity Western ECL Substrate (Volym);;;;;;;Cupboard Csaba
Complete, EDTA-free Tablet;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Fridge near Bond
coomasie;;;;;;;Fridge Atlas
Dabco 33-LV (solution);"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Fridge near Bond
